epoch,participant_id,reported_address,claimed,inference_count,missed_requests,miss_rate,earned_coins,rewarded_coins,validation_weight,full_weight,confirmation_weight,raw_total,chain_effective_weight_uncapped,chain_effective_weight,total_epoch_weight,fixed_epoch_reward,expected_reward_pre_downtime,preliminary_exposure,zero_reward,zero_reward_claimed,needs_root_cause_review
269,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,False,False,555,39,0.06565657,0,0,4924,4924,0,4433,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,False,False,0,0,,0,0,4449,4449,0,4476,0,0,679397,284391645956190,0,0,True,False,False
269,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,False,False,103,15,0.12711864,0,0,4874,4874,0,4388,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,False,False,483,19,0.03784861,0,0,4924,4924,0,4433,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,False,True,147,35,0.19230769,10280955,0,1143,1143,1151,1203,1093,1093,679397,284391645956190,457523464233,457523464233,True,True,True
269,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,False,False,70,7,0.09090909,0,0,735,735,0,238,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,False,False,424,22,0.04932735,0,0,5324,5324,3182,4793,3182,3182,679397,284391645956190,1331966754979,1331966754979,True,False,False
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,False,False,156,448,0.74172185,0,0,1280,1280,0,1347,0,0,679397,284391645956190,0,0,True,False,False
269,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,False,False,291,38,0.11550152,0,0,4825,4825,0,4343,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,False,False,834,26,0.03023256,0,0,9949,9949,0,8956,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,False,False,152,25,0.14124294,0,0,4742,4742,0,4771,0,0,679397,284391645956190,0,0,True,False,False
