epoch,participant,source,found,missed,invalid,cost,required_validations,completed_validations,escrow_count,raw_file
280,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,performance_summary,True,0,0,250230,6,6,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp.json
280,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,performance_summary,True,5,64,25582070,3169,3159,7,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll.json
280,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,performance_summary,True,4,0,621450,7,7,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e.json
280,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p.json
280,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr.json
280,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,performance_summary,True,1,8,4480940,146,146,2,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5.json
280,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,performance_summary,True,1,0,333770,11,11,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz.json
280,gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d,performance_summary,True,3,1,1577420,8,8,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d.json
280,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5.json
280,gonka1mu9ftknnz954jl4tnshmx0n3gyhglsk6h7qw0u,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1mu9ftknnz954jl4tnshmx0n3gyhglsk6h7qw0u.json
280,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,performance_summary,True,1,33,23740400,618,611,5,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es.json
280,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3.json
280,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,performance_summary,True,25,0,0,209,0,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr.json
280,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m.json
